ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NEW JERSEY,Academy for Urban Leadership Charter School,3400741,15740,497
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OHIO,Academy for Urban Scholars Youngstown,3901472,8583,163
ACADEMY ISD,Texas,TEXAS,ACADEMY ISD,4807470,7744,1523
ACADEMY OF ACCELERATED LEARNING INC,Texas,TEXAS,ACADEMY OF ACCELERATED LEARNING INC,4800032,8930,761
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,ARIZONA,Academy of Building Industries  Inc.,0400414,7182,121
ACADEMY OF CONSTRUCTION AND ENGINEE,MINNESOTA,MINNESOTA,Academy of Construction and Enginee,2700441,†,†
ACADEMY OF DALLAS,Texas,TEXAS,ACADEMY OF DALLAS,4800090,10895,476
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,DELAWARE,Academy of Dover Charter School,1000017,12976,247
ACADEMY OF EXCELLENCE  INC.,Arizona,ARIZONA,Academy Of Excellence  Inc.,0400128,10250,92
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,Academy of Hope Adult PCS,1100094,†,0
ACADEMY OF INTERNATIONAL STUDIES,Michigan,MICHIGAN,Academy of International Studies,2601002,†,235
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,ARIZONA,Academy of Mathematics and Science  Inc.,0400368,11597,419
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,ARIZONA,Academy of Mathematics and Science  Inc.,0400940,6509,585
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,ARIZONA,Academy of Mathematics and Science South  Inc.,0400891,6295,505
ACADEMY OF PERSONALIZED EXCELLENCE,MINNESOTA,MINNESOTA,Academy of Personalized Excellence,2700432,†,†
ACADEMY OF THE CITY CHARTER SCHOOL,New York,NEW YORK,ACADEMY OF THE CITY CHARTER SCHOOL,3601053,†,412
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,MASSACHUSETTS,Academy Of the Pacific Rim Charter Public (District),2500021,17562,527
ACADEMY OF TRADES AND TECH,New Mexico,NEW MEXICO,ACADEMY OF TRADES AND TECH,3500129,15144,118
ACADEMY OF TUCSON INC. (78897),Arizona,ARIZONA,Academy of Tucson  Inc.,0400202,6458,699
ACADEMY OF WARREN,Michigan,MICHIGAN,Academy of Warren,2600308,8380,645
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,COLORADO,Academy School District No. 20 in the county of El Paso an,0801920,8728,25591
ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213),Arizona,ARIZONA,Academy with Community Partners  Inc,0400276,6732,127
ACADIA ACADEMY,MAINE,MAINE,Acadia Academy,2314831,10562,130
ACADIA PARISH,Louisiana,LOUISIANA,Acadia Parish,2200030,9245,9839
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LOUISIANA,Acadiana Renaissance Charter Academy,2200231,7941,887
ACALANES UNION HIGH,California,CALIFORNIA,Acalanes Union High,0601650,13573,5530
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,ARIZONA,Accelerated Elementary and Secondary Schools,0400129,8750,176
ACCELERATED INTERMEDIATE ACADEMY,Texas,TEXAS,ACCELERATED INTERMEDIATE ACADEMY,4800192,6834,283
ACCELERATED LEARNING CENTER INC. (4297),Arizona,ARIZONA,Accelerated Learning Center  Inc.,0400121,7164,183
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,MASSACHUSETTS,ACCEPT Education Collaborative,2500578,†,†
ACCLAIM CHARTER SCHOOL (4325),Arizona,ARIZONA,Acclaim Charter School,0400122,7696,398
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,ACCOMACK CO PBLC SCHS,5100060,10836,5262
ACE ACADEMY (SDA),Michigan,MICHIGAN,ACE Academy (SDA),2600943,19037,163
ACE AMANDLA CHARTER SCHOOL,ILLINOIS,ILLINOIS,Amandla Charter School,1701426,†,277
ACE LEADERSHIP HIGH SCHOOL,New Mexico,NEW MEXICO,ACE LEADERSHIP HIGH SCHOOL,3500128,8078,347
ACE PREPARATORY ACADEMY,INDIANA,INDIANA,ACE Preparatory Academy,1800172,15917,36
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OHIO,Achieve Career Preparatory Academy,3901362,8631,122
ACHIEVE CHARTER ACADEMY,Michigan,MICHIGAN,Achieve Charter Academy,2600963,8119,767
ACHIEVE LANGUAGE ACADEMY,Minnesota,MINNESOTA,ACHIEVE LANGUAGE ACADEMY,2700118,10902,457
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,3601028,†,758
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,3601109,†,439
