ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
BASIS CHARTER SCHOOLS INC. (92734),ARIZONA,ARIZONA,BASIS Schools  Inc.,0400941,8925,186
BASIS CHARTER SCHOOLS INC. (92736),ARIZONA,ARIZONA,BASIS Schools  Inc.,0400943,5689,589
BASIS CHARTER SCHOOLS INC. (92863),ARIZONA,ARIZONA,BASIS Schools  Inc.,0400937,8528,530
BASIS CHARTER SCHOOLS INC. (92865),ARIZONA,ARIZONA,BASIS Schools  Inc.,0400936,8329,441
BASIS CHARTER SCHOOLS INC. (92997),ARIZONA,ARIZONA,BASIS School Inc. 18,0400958,7824,522
BASIS DC PCS,District of Columbia,DISTRICT OF COLUMBIA,Basis DC PCS,1100083,15351,599
BASIS TEXAS,Texas,TEXAS,BASIS TEXAS,4801438,8228,1384
BASS LAKE JOINT UNION ELEMENTARY,California,CALIFORNIA,Bass Lake Joint Union Elementary,0604080,9879,891
BASS RIVER TOWNSHIP BOARD OF EDUCATION,New Jersey,NEW JERSEY,BASS RIVER TOWNSHIP BOARD OF EDUCATION,3401200,25369,103
BASSETT UNIFIED,California,CALIFORNIA,Bassett Unified,0604110,13834,3689
BASTROP ISD,Texas,TEXAS,BASTROP ISD,4809570,8734,10539
BATAVIA CITY SCHOOL DISTRICT,New York,NEW YORK,BATAVIA CITY SCHOOL DISTRICT,3603990,19364,2291
BATAVIA LOCAL,Ohio,OHIO,Batavia Local,3904630,10025,2269
BATAVIA USD 101,Illinois,ILLINOIS,Batavia USD 101,1705220,14568,6003
BATES TECHNICAL COLLEGE,Washington,WASHINGTON,Bates Technical College,5300014,†,270
BATESVILLE COMMUNITY SCHOOL CORP,Indiana,INDIANA,Batesville Community School Corp,1800390,10316,1970
BATESVILLE SCHOOL DISTRICT,Arkansas,ARKANSAS,BATESVILLE SCHOOL DISTRICT,0500019,9251,3193
BATH CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BATH CENTRAL SCHOOL DISTRICT,3604050,18477,1607
BATH COMMUNITY SCHOOLS,Michigan,MICHIGAN,Bath Community Schools,2604170,9398,1122
BATH COUNTY,Kentucky,KENTUCKY,Bath County,2100330,9506,2075
BATH COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,BATH CO PBLC SCHS,5100330,18740,562
BATH LOCAL,Ohio,OHIO,Bath Local,3904576,9225,1767
BATH SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Bath School District,3301710,10541,133
BATON ROUGE CHARTER ACADEMY AT MID-CITY,LOUISIANA,LOUISIANA,Baton Rouge Charter Academy at Mid-City,2200269,10858,676
BATON ROUGE COLLEGE PREPARATORY INC,LOUISIANA,LOUISIANA,RSD-Baton Rouge College Preparatory Inc.,2200184,12323,167
BATON ROUGE UNIVERSITY PREPARATORY ELEMENTARY,LOUISIANA,LOUISIANA,RSD-Baton Rouge University Preparatory School Inc.,2200260,13567,252
BATTENKILL VALLEY SUPERVISORY UNION,Vermont,VERMONT,Battenkill Valley Supervisory Union,5000004,†,†
BATTIEST,Oklahoma,OKLAHOMA,BATTIEST,4003660,10652,287
BATTLE CREEK AREA LEARNING CENTER,Michigan,MICHIGAN,Battle Creek Area Learning Center,2600275,8292,161
BATTLE CREEK MONTESSORI ACADEMY,Michigan,MICHIGAN,Battle Creek Montessori Academy,2601055,7187,166
BATTLE CREEK PUBLIC SCHOOLS,Michigan,MICHIGAN,Battle Creek Public Schools,2600005,13830,4118
BATTLE CREEK PUBLIC SCHOOLS,Nebraska,NEBRASKA,BATTLE CREEK PUBLIC SCHOOLS,3103540,13599,431
BATTLE CREEK-IDA GROVE COMM SCHOOL DISTRICT,Iowa,IOWA,Battle Creek-Ida Grove Comm School District,1904320,11993,667
BATTLE GROUND SCHOOL DISTRICT,Washington,WASHINGTON,Battle Ground School District,5300380,10957,13427
BATTLE LAKE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2703750,10346,456
BAUGO COMMUNITY SCHOOLS,Indiana,INDIANA,Baugo Community Schools,1800420,8966,1825
BAUXITE SCHOOL DISTRICT,Arkansas,ARKANSAS,BAUXITE SCHOOL DISTRICT,0502790,7939,1673
BAXTER ACADEMY FOR TECHNOLOGY AND SCIENCE,Maine,MAINE,Baxter Academy for Technology and Science,2314812,12187,343
BAXTER COMM SCHOOL DISTRICT,Iowa,IOWA,Baxter Comm School District,1904380,12578,353
BAXTER SPRINGS,Kansas,KANSAS,Baxter Springs,2003810,10517,1034
BAY,Florida,FLORIDA,BAY,1200090,8449,28024
BAY CITY ACADEMY,Michigan,MICHIGAN,Bay City Academy,2601000,9188,340
BAY CITY ISD,Texas,TEXAS,BAY CITY ISD,4809630,11198,3726
BAY CITY SCHOOL DISTRICT,Michigan,MICHIGAN,Bay City School District,2604260,8990,7905
BAY HEAD BOROUGH SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bay Head Borough School District,3401230,22131,130
BAY SCHOOL DISTRICT,Arkansas,ARKANSAS,BAY SCHOOL DISTRICT,0502820,9424,590
BAY SHORE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,BAY SHORE UNION FREE SCHOOL DISTRICT,3604080,23472,6141
BAY ST LOUIS WAVELAND SCHOOL DIST,Mississippi,MISSISSIPPI,BAY ST LOUIS WAVELAND SCHOOL DIST,2800570,10443,1865
BAY VILLAGE CITY,Ohio,OHIO,Bay Village City,3904354,12814,2506
BAY-ARENAC COMMUNITY HIGH SCHOOL,Michigan,MICHIGAN,Bay-Arenac Community High School,2600067,8258,163
BAY-ARENAC ISD,Michigan,MICHIGAN,Bay-Arenac ISD,2680504,†,–
BAYARD PUBLIC SCHOOLS,Nebraska,NEBRASKA,BAYARD PUBLIC SCHOOLS,3100090,13847,425
BAYFIELD SCHOOL DISTRICT,Wisconsin,WISCONSIN,Bayfield School District,5500900,23716,370
BAYFIELD SCHOOL DISTRICT NO. 10JT-R,Colorado,COLORADO,Bayfield School District No. 10Jt-R,0802400,9796,1381
BAYLESS,Missouri,MISSOURI,BAYLESS,2904500,9824,1571
BAYONNE SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bayonne School District,3401260,15105,9859
BAYPOINTE RESIDENTIAL SERVICES,Alabama,ALABAMA,Bay Point Center,0100037,†,†
BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,New York,NEW YORK,BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,3604110,28330,2230
BAYSHORE ELEMENTARY,California,CALIFORNIA,Bayshore Elementary,0604200,13524,368
BAYSHORE JOINTURE COMMISSION SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bayshore Jointure Commission,3400069,†,–
BAYSTATE ACADEMY CHARTER PUBLIC SCHOOL (DISTRICT),Massachusetts,MASSACHUSETTS,Baystate Academy Charter Public School (District),2500550,13673,392
BCLUW COMM SCHOOL DISTRICT,Iowa,IOWA,BCLUW Comm School District,1904440,11491,574
BDOTE LEARNING CENTER,Minnesota,MINNESOTA,BDOTE LEARNING CENTER,2700396,22373,75
BEACH 3,North Dakota,NORTH DAKOTA,BEACH 3,3802380,20351,248
BEACH HAVEN SCHOOL DISTRICT,New Jersey,NEW JERSEY,Beach Haven School District,3401290,30214,70
BEACH PARK CCSD 3,Illinois,ILLINOIS,Beach Park CCSD 3,1700010,12457,2288
BEACHWOOD CITY,Ohio,OHIO,Beachwood City,3904355,21242,1516
BEACON ACADEMY,OHIO,OHIO,Beacon Academy,3901586,8564,172
BEACON ACADEMY,Minnesota,MINNESOTA,BEACON ACADEMY,2700366,11982,388
BEACON CHARTER SCHOOL,Rhode Island,RHODE ISLAND,Beacon Charter School,4400008,12791,321
BEACON CITY SCHOOL DISTRICT,New York,NEW YORK,BEACON CITY SCHOOL DISTRICT,3604140,19547,2988
BEACON HILL ACADEMY,Ohio,OHIO,Beacon Hill Academy,3901463,9167,66
BEAL CITY PUBLIC SCHOOLS,Michigan,MICHIGAN,Beal City Public Schools,2604290,8945,703
BEALS PUBLIC SCHOOLS,Maine,MAINE,Beals Public Schools,2302950,18167,48
BEAR CREEK COMMUNITY CS,Pennsylvania,PENNSYLVANIA,Bear Creek Community CS,4200126,13751,465
BEAR GRASS CHARTER SCHOOL,North Carolina,NORTH CAROLINA,Bear Grass Charter School,3700322,7669,399
BEAR LAKE COUNTY DISTRICT,Idaho,IDAHO,BEAR LAKE COUNTY DISTRICT,1600240,7192,1169
BEAR LAKE SCHOOLS,Michigan,MICHIGAN,Bear Lake Schools,2604320,10387,266
BEAR PAW COOPERATIVE,Montana,MONTANA,Bear Paw Cooperative,3000012,†,†
BEAR PAW ELEM,Montana,MONTANA,Bear Paw Elem,3003000,14500,4
BEAR RIVER CHARTER SCHOOL,Utah,UTAH,BEAR RIVER CHARTER SCHOOL,4900146,7690,168
BEAR VALLEY UNIFIED,California,CALIFORNIA,Bear Valley Unified,0604230,11468,2523
BEARDEN,Oklahoma,OKLAHOMA,BEARDEN,4003690,7951,122
BEARDEN SCHOOL DISTRICT,Arkansas,ARKANSAS,BEARDEN SCHOOL DISTRICT,0500032,10613,468
BEARDSLEY ELEMENTARY,California,CALIFORNIA,Beardsley Elementary,0604260,10155,1810
BEARDSTOWN CUSD 15,Illinois,ILLINOIS,Beardstown CUSD 15,1705310,10322,1558
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,Texas,TEXAS,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,4800190,8843,483
BEATRICE PUBLIC SCHOOLS,Nebraska,NEBRASKA,BEATRICE PUBLIC SCHOOLS,3103600,11350,2130
BEAUFORT 01,South Carolina,SOUTH CAROLINA,Beaufort 01,4501110,11745,21911
BEAUFORT 80,South Carolina,SOUTH CAROLINA,Beaufort 80,4501100,†,†
BEAUFORT COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Beaufort County Schools,3700330,9419,6936
BEAUMONT ISD,Texas,TEXAS,BEAUMONT ISD,4809670,8838,19204
BEAUMONT UNIFIED,California,CALIFORNIA,Beaumont Unified,0604290,9680,9975
BEAUREGARD PARISH,Louisiana,LOUISIANA,Beauregard Parish,2200180,10166,5952
BEAVER,Oklahoma,OKLAHOMA,BEAVER,4003750,9130,377
BEAVER AREA ACADEMIC CS,Pennsylvania,PENNSYLVANIA,Beaver Area Academic CS,4200142,†,†
BEAVER AREA SD,Pennsylvania,PENNSYLVANIA,Beaver Area SD,4203120,12192,2056
BEAVER COUNTY CAREER & TECHNOLOGY CENTER,Pennsylvania,PENNSYLVANIA,Beaver County CTC,4280500,†,†
BEAVER COVE PUBLIC SCHOOLS,Maine,MAINE,Beaver Cove Public Schools,2302960,†,†
BEAVER CREEK ELEMENTARY DISTRICT (4481),Arizona,ARIZONA,Beaver Creek Elementary District,0401080,8487,411
BEAVER DAM UNIFIED SCHOOL DISTRICT,Wisconsin,WISCONSIN,Beaver Dam Unified School District,5500960,10923,3576
BEAVER DISTRICT,Utah,UTAH,BEAVER DISTRICT,4900060,9720,1549
BEAVER ISLAND COMMUNITY SCHOOL,Michigan,MICHIGAN,Beaver Island Community School,2604350,42200,50
BEAVER LOCAL,Ohio,OHIO,Beaver Local,3904642,10207,1831
BEAVER RIVER CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BEAVER RIVER CENTRAL SCHOOL DISTRICT,3604200,16560,885
BEAVER VALLEY IU 27,Pennsylvania,PENNSYLVANIA,Beaver Valley IU 27,4289370,†,–
BEAVERCREEK CITY,Ohio,OHIO,Beavercreek City,3904724,11676,7751
BEAVERHEAD,Montana,MONTANA,Beaverhead,3000009,†,†
BEAVERHEAD COUNTY H S,Montana,MONTANA,Beaverhead County H S,3003090,14788,326
BEAVERTON SCHOOLS,Michigan,MICHIGAN,Beaverton Rural Schools,2604440,9233,1101
BEAVERTON SD 48J,Oregon,OREGON,Beaverton SD 48J,4101920,10940,40889
BECKER PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BECKER PUBLIC SCHOOL DISTRICT,2703870,10231,2908
BECKVILLE ISD,Texas,TEXAS,BECKVILLE ISD,4809690,11892,674
BEDDINGTON PUBLIC SCHOOLS,Maine,MAINE,Beddington Public Schools,2302980,†,†
BEDFORD,Massachusetts,MASSACHUSETTS,Bedford,2502400,16991,2667
BEDFORD AREA SD,Pennsylvania,PENNSYLVANIA,Bedford Area SD,4203180,12907,1794
BEDFORD CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BEDFORD CENTRAL SCHOOL DISTRICT,3619950,28205,4187
BEDFORD CITY,Ohio,OHIO,Bedford City,3910017,14343,3290
BEDFORD COMM SCHOOL DISTRICT,Iowa,IOWA,Bedford Comm School District,1904560,11515,472
BEDFORD COUNTY,Tennessee,TENNESSEE,Bedford County,4700180,7454,8631
BEDFORD COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,BEDFORD CO PBLC SCHS,5100360,10115,9702
BEDFORD COUNTY TECHNICAL CENTER,Pennsylvania,PENNSYLVANIA,Bedford County Technical Center,4200001,†,†
BEDFORD PUBLIC SCHOOLS,Michigan,MICHIGAN,Bedford Public Schools,2604470,9433,4347
BEDFORD SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Bedford SAU Office,3300011,†,–
BEDFORD SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Bedford School District,3301740,13695,4513
BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,New York,NEW YORK,BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,3600965,†,345
BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,New York,NEW YORK,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,3601029,†,661
BEDMINSTER TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bedminster Township Public School,3401320,22184,533
BEEBE SCHOOL DISTRICT,Arkansas,ARKANSAS,BEEBE SCHOOL DISTRICT,0502880,8932,3369
BEECH GROVE CITY SCHOOLS,Indiana,INDIANA,Beech Grove City Schools,1800450,13126,2194
BEECHER CITY CUSD 20,Illinois,ILLINOIS,Beecher City CUSD 20,1705460,14770,300
BEECHER COMMUNITY SCHOOL DISTRICT,Michigan,MICHIGAN,Beecher Community School District,2604500,13077,882
BEECHER CUSD 200U,Illinois,ILLINOIS,Beecher CUSD 200U,1705430,9863,1048
BEECHER-DUNBAR-PEMBINE SCHOOL DISTRICT,Wisconsin,WISCONSIN,Beecher-Dunbar-Pembine School District,5511550,14340,256
BEECHWOOD INDEPENDENT,Kentucky,KENTUCKY,Beechwood Independent,2100360,8964,1412
BEEHIVE SCIENCE & TECHNOLOGY ACADEMY,Utah,UTAH,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),4900023,7837,294
BEEKMANTOWN CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,3604290,20774,1921
BEEVILLE ISD,Texas,TEXAS,BEEVILLE ISD,4809720,9892,3364
BEGGS,Oklahoma,OKLAHOMA,BEGGS,4003810,8708,1094
BEGINNING WITH CHILDREN CHARTER SCHOOL II,New York,NEW YORK,BEGINNING WITH CHILDREN CHARTER SCHOOL II,3601064,†,298
BELCHERTOWN,Massachusetts,MASSACHUSETTS,Belchertown,2502430,13344,2372
BELCOURT 7,North Dakota,NORTH DAKOTA,BELCOURT 7,3802530,14371,1750
BELDING AREA SCHOOL DISTRICT,Michigan,MICHIGAN,Belding Area School District,2604530,9640,1875
BELEN,New Mexico,NEW MEXICO,BELEN CONSOLIDATED SCHOOLS,3500180,10972,3921
BELFAST CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BELFAST CENTRAL SCHOOL DISTRICT,3604350,22364,363
BELFIELD 13,North Dakota,NORTH DAKOTA,BELFIELD 13,3806210,14391,235
BELFONTE,Oklahoma,OKLAHOMA,BELFONTE,4003840,12733,202
BELFRY K-12 SCHOOLS,Montana,MONTANA,Belfry K-12 Schools,3003270,24197,61
BELGRADE ELEM,Montana,MONTANA,Belgrade Elem,3003290,9337,2407
BELGRADE H S,Montana,MONTANA,Belgrade H S,3003330,10415,860
BELGRADE-BROOTEN-ELROSA SCHOOL DIST,Minnesota,MINNESOTA,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2700105,11124,647
BELL CANYON CHARTER SCHOOL INC (79983),Arizona,ARIZONA,Bell Canyon Charter School  Inc,0400374,9165,328
BELL CITY R-II,Missouri,MISSOURI,BELL CITY R-II,2904530,12382,225
BELL COUNTY,Kentucky,KENTUCKY,Bell County,2100390,9969,2864
BELLA ACADEMY OF EXCELLENCE,Ohio,OHIO,Bella Academy of Excellence,3901370,8887,291
BELLA VISTA ELEMENTARY,California,CALIFORNIA,Bella Vista Elementary,0604350,10956,361
BELLAIRE LOCAL,Ohio,OHIO,Bellaire Local,3904357,11766,1174
BELLAIRE PUBLIC SCHOOLS,Michigan,MICHIGAN,Bellaire Public Schools,2604620,9573,398
BELLBROOK-SUGARCREEK LOCAL,Ohio,OHIO,Bellbrook-Sugarcreek Local,3904727,10559,2658
BELLE CHASSE ACADEMY,Louisiana,LOUISIANA,Belle Chasse Academy Inc.,2200041,14358,960
BELLE FOURCHE SCHOOL DISTRICT 09-1,South Dakota,SOUTH DAKOTA,Belle Fourche School District 09-1,4605610,8809,1374
BELLE PLAINE,Kansas,KANSAS,Belle Plaine,2003900,10619,646
BELLE PLAINE COMM SCHOOL DISTRICT,Iowa,IOWA,Belle Plaine Comm School District,1904620,10255,561
BELLE PLAINE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2704050,9539,1663
BELLE VALLEY SD 119,Illinois,ILLINOIS,Belle Valley SD 119,1705580,11637,1021
BELLE VERNON AREA SD,Pennsylvania,PENNSYLVANIA,Belle Vernon Area SD,4203210,13298,2427
BELLEFONTAINE CITY,Ohio,OHIO,Bellefontaine City,3904358,11115,2417
BELLEFONTE AREA SD,Pennsylvania,PENNSYLVANIA,Bellefonte Area SD,4203240,14780,2664
BELLEVIEW ELEMENTARY,California,CALIFORNIA,Belleview Elementary,0604500,12531,147
BELLEVIEW R-III,Missouri,MISSOURI,BELLEVIEW R-III,2904590,7935,170
BELLEVILLE AREA SPECIAL SERVICES,Illinois,ILLINOIS,Belleville Area Special Services,1743963,†,†
BELLEVILLE PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,BELLEVILLE PUBLIC SCHOOLS,3401350,15355,4549
BELLEVILLE SCHOOL DISTRICT,Wisconsin,WISCONSIN,Belleville School District,5500990,12186,913
BELLEVILLE SD 118,Illinois,ILLINOIS,Belleville SD 118,1705610,14525,3881
BELLEVILLE TWP HSD 201,Illinois,ILLINOIS,Belleville Twp HSD 201,1705640,15307,4886
BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,3604370,16956,501
BELLEVUE CITY,Ohio,OHIO,Bellevue City,3904359,10726,1964
BELLEVUE COMM SCHOOL DISTRICT,Iowa,IOWA,Bellevue Comm School District,1904650,10458,653
BELLEVUE COMMUNITY SCHOOLS,Michigan,MICHIGAN,Bellevue Community Schools,2604650,9656,608
BELLEVUE INDEPENDENT,Kentucky,KENTUCKY,Bellevue Independent,2100420,11058,743
BELLEVUE ISD,Texas,TEXAS,BELLEVUE ISD,4809750,12676,139
BELLEVUE PUBLIC SCHOOLS,Nebraska,NEBRASKA,BELLEVUE PUBLIC SCHOOLS,3103810,10770,10028
BELLEVUE SCHOOL DISTRICT,Washington,WASHINGTON,Bellevue School District,5300390,12566,20443
BELLEVUE UNION,California,CALIFORNIA,Bellevue Union,0604380,13909,1895
BELLFLOWER UNIFIED,California,CALIFORNIA,Bellflower Unified,0604440,11313,12297
BELLINGHAM,Massachusetts,MASSACHUSETTS,Bellingham,2502460,15300,2284
BELLINGHAM SCHOOL DISTRICT,Washington,WASHINGTON,Bellingham School District,5300420,11807,11524
BELLMAWR PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,BELLMAWR PUBLIC SCHOOL DISTRICT,3401380,13880,1219
BELLMORE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,BELLMORE UNION FREE SCHOOL DISTRICT,3604410,29404,1040
BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,New York,NEW YORK,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,3619020,25206,5422
BELLOWS FALLS UNION HIGH SCHOOL DISTRICT #27,Vermont,VERMONT,Bellows Falls UHSD #27,5008246,14707,352
BELLOWS FREE ACADEMY UHSD #48,Vermont,VERMONT,Bellows Free Academy UHSD #48,5000025,21462,624
BELLS,Tennessee,TENNESSEE,Bells,4700210,8369,407
BELLS ISD,Texas,TEXAS,BELLS ISD,4809780,9839,776
BELLVILLE ISD,Texas,TEXAS,BELLVILLE ISD,4809810,11465,2239
BELLWOOD SD 88,Illinois,ILLINOIS,Bellwood SD 88,1705760,12767,2608
BELLWOOD-ANTIS SD,Pennsylvania,PENNSYLVANIA,Bellwood-Antis SD,4203300,11581,1278
BELMAR ELEMENTARY SCHOOL DISTRICT,New Jersey,NEW JERSEY,Belmar Elementary School District,3401410,18209,540
BELMOND-KLEMME COMM SCHOOL DISTRICT,Iowa,IOWA,Belmond-Klemme Comm School District,1904680,9302,867
BELMONT,Massachusetts,MASSACHUSETTS,Belmont,2502490,12692,4558
BELMONT COMMUNITY SCHOOL DISTRICT,Wisconsin,WISCONSIN,Belmont Community School District,5501020,11008,399
BELMONT CS,Pennsylvania,PENNSYLVANIA,Belmont Charter School,4200108,13322,676
BELMONT-HARRISON,Ohio,OHIO,Belmont-Harrison,3905085,†,0
BELMONT-REDWOOD SHORES ELEMENTARY,California,CALIFORNIA,Belmont-Redwood Shores Elementary,0604530,10564,4230
BELOIT,Kansas,KANSAS,Beloit,2003870,17320,807
BELOIT SCHOOL DISTRICT,Wisconsin,WISCONSIN,Beloit School District,5501050,11847,6943
BELOIT TURNER SCHOOL DISTRICT,Wisconsin,WISCONSIN,Beloit Turner School District,5501080,10731,1492
BELOVED COMMUNITY CHARTER,New Jersey,NEW JERSEY,BelovED Community Charter School,3400759,11786,840
BELPRE CITY,Ohio,OHIO,Belpre City,3904361,11527,960
BELRIDGE ELEMENTARY,California,CALIFORNIA,Belridge Elementary,0604560,38625,32
BELT ELEM,Montana,MONTANA,Belt Elem,3003420,9595,247
BELT H S,Montana,MONTANA,Belt H S,3003450,21651,86
BELTON 124,Missouri,MISSOURI,BELTON 124,2904620,9480,4969
BELTON ISD,Texas,TEXAS,BELTON ISD,4809860,8684,11116
BELVIDERE CUSD 100,Illinois,ILLINOIS,Belvidere CUSD 100,1705790,14072,8221
BELVIDERE SCHOOL DISTRICT,New Jersey,NEW JERSEY,BELVIDERE SCHOOL DISTRICT,3401440,18433,732
BELVIDERE SCHOOL DISTRICT,Vermont,VERMONT,Belvidere School District,5002100,†,†
BEMENT CUSD 5,Illinois,ILLINOIS,Bement CUSD 5,1705820,14093,323
BEMIDJI PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BEMIDJI PUBLIC SCHOOL DISTRICT,2704440,12080,5223
BEMIDJI REGIONAL INTERDIST. COUNCIL,Minnesota,MINNESOTA,BEMIDJI REGIONAL INTERDIST. COUNCIL,2700051,†,†
BEMUS POINT CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BEMUS POINT CENTRAL SCHOOL DISTRICT,3604530,16344,735
BEN BOLT-PALITO BLANCO ISD,Texas,TEXAS,BEN BOLT-PALITO BLANCO ISD,4809870,12708,542
BEN HILL COUNTY,Georgia,GEORGIA,Ben Hill County,1300360,10004,3252
BENAVIDES ISD,Texas,TEXAS,BENAVIDES ISD,4899130,14466,363
BENCHMARK SCHOOL INC. (10972),Arizona,ARIZONA,Benchmark School  Inc.,0400181,6772,426
BEND-LAPINE ADMINISTRATIVE SD 1,Oregon,OREGON,Bend-LaPine Administrative SD 1,4101980,9580,17984
BENDLE PUBLIC SCHOOLS,Michigan,MICHIGAN,Bendle Public Schools,2604740,9888,1193
BENGE SCHOOL DISTRICT,Washington,WASHINGTON,Benge School District,5300450,31846,13
BENICIA UNIFIED,California,CALIFORNIA,Benicia Unified,0604620,10017,4856
BENJAMIN BANNEKER CHARTER PUBLIC (DISTRICT),Massachusetts,MASSACHUSETTS,Benjamin Banneker Charter Public (District),2500022,21075,347
BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,New Jersey,NEW JERSEY,Benjamin Banneker Preparatory Charter School,3400744,15097,176
BENJAMIN FRANKLIN CHARTER SCHOOL - QUEEN CREEK (4355),Arizona,ARIZONA,Benjamin Franklin Charter School,0400065,6378,3083
BENJAMIN FRANKLIN CLASSICAL CHARTER PUBLIC (DISTRICT),Massachusetts,MASSACHUSETTS,Benjamin Franklin Classical Charter Public (District),2500030,13262,447
BENJAMIN ISD,Texas,TEXAS,BENJAMIN ISD,4809980,14870,100
BENJAMIN LOGAN LOCAL,Ohio,OHIO,Benjamin Logan Local,3904807,10738,1722
BENJAMIN SD 25,Illinois,ILLINOIS,Benjamin SD 25,1705880,21832,638
BENNETT COMM SCHOOL DISTRICT,Iowa,IOWA,Bennett Comm School District,1904740,8770,191
BENNETT COUNTY SCHOOL DISTRICT 03-1,South Dakota,SOUTH DAKOTA,Bennett County School District 03-1,4606240,12255,498
BENNETT SCHOOL DISTRICT NO. 29J,Colorado,COLORADO,Bennett School District No. 29J,0802430,7666,1089
BENNETT VALLEY UNION ELEMENTARY,California,CALIFORNIA,Bennett Valley Union Elementary,0604650,9925,1035
BENNETT VENTURE ACADEMY,Ohio,OHIO,Bennett Venture Academy,3900457,10198,697
BENNINGTON,Oklahoma,OKLAHOMA,BENNINGTON,4003930,9177,328
BENNINGTON INCORPORATED SCHOOL DISTRICT,Vermont,VERMONT,Bennington Incorporated School District,5002130,7750,979
BENNINGTON PUBLIC SCHOOLS,Nebraska,NEBRASKA,BENNINGTON PUBLIC SCHOOLS,3103990,8639,2367
BENNINGTON RUTLAND SUPERVISORY UNION,Vermont,VERMONT,Bennington Rutland Supervisory Union,5099906,†,†
BENSALEM TOWNSHIP SD,Pennsylvania,PENNSYLVANIA,Bensalem Township SD,4203330,17352,6219
BENSENVILLE SD 2,Illinois,ILLINOIS,Bensenville SD 2,1705910,15417,2188
BENSON PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BENSON PUBLIC SCHOOL DISTRICT,2704470,11573,848
BENSON SCHOOL DISTRICT,Vermont,VERMONT,Benson School District,5002160,14000,85
BENSON UNIFIED SCHOOL DISTRICT (79226),Arizona,ARIZONA,Benson Unified School District,0400212,8213,1225
BENTLEY ACADEMY CHARTER SCHOOL (DISTRICT),MASSACHUSETTS,MASSACHUSETTS,Bentley Academy Charter School (District),2500558,16039,257
BENTLEY COMMUNITY SCHOOL DISTRICT,Michigan,MICHIGAN,Bentley Community School District,2604800,9806,825
BENTON AREA SD,Pennsylvania,PENNSYLVANIA,Benton Area SD,4203390,15607,662
BENTON CARROLL SALEM LOCAL,Ohio,OHIO,Benton Carroll Salem Local,3904892,11744,1533
BENTON CCSD 47,Illinois,ILLINOIS,Benton CCSD 47,1705950,11559,1108
BENTON CO SCHOOL DIST,Mississippi,MISSISSIPPI,BENTON CO SCHOOL DIST,2800600,10056,1165
